NationalDatabaseNumber,Species,Region,Country,City-fromstrandingstable,County,State,BodyofWater,LocalityDetail,Latitude,ConversionLAT,LatitudeUnits,LatitudeActualEstimate,Longitude,ConversionLONG,LongitudeUnits,LongitudeActualEstimate,Howlatlongdetermined,ObservationDate,SickFlag,InjuredFlag,OutofHabitatFlag,DeemedHealthyReleasableFlag,AbandonedOrphanedFlag,InaccesibleFlag,LocationHazardoustoAnimal,LocationHazardousPublic,UnknownCBDFlag,ConditionOtherFlag,ConditionOtherDescription,EntangledFlag,Sex,AgeClass
NE-2008-1078763,grypus,NE,United States,Bethany Beach,Sussex,DE,Atlantic Ocean,Between 3rd and 4th street,38.544716,38.544716,decimal degrees,actual,-75.05495,-75.05495,decimal degrees,actual,GPS,2008-MAR-14,Y,Y,N,N,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2004-1040109,truncatus,NE,United States,Ocean City,Cape May,NJ,Atlantic Ocean,51st St and the beach,391345,39.22916667,deg/min/sec,actual,743745,-74.62916667,deg/min/sec,actual,Other,2004-SEP-23,N,N,N,N,N,N,N,N,N,N,,,MALE,SUBADULT
NE-2008-1077359,delphis,NE,United States,Ocean,Cape May,NJ,Atlantic Ocean,"Corsons Inlet State Park, 1/4 mile south of 59th street beach access.",39.214151,39.214151,decimal degrees,estimate,-74.64147,-74.64147,decimal degrees,estimate,Internet,2008-APR-26,Y,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT
NE-2008-1074989,groenlandica,NE,United States,Wildwood Crest,Cape May,NJ,Atlantic Ocean,Toledo Ave and the beach,38.962126,38.962126,decimal degrees,estimate,-74.83931,-74.83931,decimal degrees,estimate,Internet,2008-MAR-02,Y,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2008-1077357,delphis,NE,United States,Avalon,Cape May,NJ,Atlantic Ocean,69th street and the beach,39.069541,39.069541,decimal degrees,estimate,-74.741313,-74.741313,decimal degrees,estimate,Internet,2008-APR-26,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2007-1072223,truncatus,NE,United States,Lewes,Sussex,DE,Delaware Bay,Floating near inner breakwall off of Cape Henlopen State Park,,,decimal degrees,,,,decimal degrees,,,2007-JUL-01,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,UNKNOWN
NE-2007-1072221,truncatus,NE,United States,Milford,Sussex,DE,Delaware Bay,South Slaughter Beach; Simpson St.,,,decimal degrees,,,,decimal degrees,,,2007-AUG-20,N,N,N,N,N,N,N,N,N,N,,,MALE,YEARLING
NE-2007-1072203,phocoena,NE,United States,Milton,Sussex,DE,Delaware Bay,Broadkill Beach; 1400 Bayshore Dr.,38.821,38.821,decimal degrees,actual,-75.2,-75.203,decimal degrees,actual,GPS,2007-APR-25,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,SUBADULT
NE-2007-1072205,grypus,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,Cape Henlopen STate Park; North of Navy crossing,38.7754166,38.7754166,decimal degrees,actual,-75.08425,-75.08425,decimal degrees,actual,GPS,2007-APR-30,N,N,N,Y,N,N,N,N,N,N,,,MALE,PUP/CALF
NE-2007-1072207,phocoena,NE,United States,Slaughter Beach,Sussex,DE,Delaware Bay,DE Bay; 507 Bay Ave.,,,decimal degrees,,,,decimal degrees,,,2007-APR-22,N,N,N,N,N,N,N,N,N,N,,,FEMALE,SUBADULT
