counter,currentDate,external_temp,external_humidity,internal_temp
1,2020-08-24 11:43:44.294626,21.0,65.0,11.375
Motion,2020-08-24 11:44:42.531962,21.0,65.0,14.4375
2,2020-08-24 11:46:14.653578,21.0,65.0,11.75
3,2020-08-24 11:48:23.173520,21.0,65.0,12.6875
4,2020-08-24 11:50:26.513771,21.0,65.0,11.625
5,2020-08-24 11:52:29.905898,21.0,65.0,9.375
6,2020-08-24 11:54:30.771624,21.0,65.0,8.375
7,2020-08-24 11:56:34.204673,21.0,65.0,7.875
8,2020-08-24 11:58:35.053695,21.0,65.0,7.4375
9,2020-08-24 12:00:38.403554,21.0,65.0,7.125
10,2020-08-24 12:02:39.263378,21.0,65.0,6.875
11,2020-08-24 12:04:42.673664,21.0,65.0,6.5625
12,2020-08-24 12:06:46.067538,21.0,65.0,6.375
13,2020-08-24 12:08:57.173506,21.0,65.0,6.1875
14,2020-08-24 12:11:00.566289,21.0,65.0,6.0
15,2020-08-24 12:13:01.373675,21.0,65.0,5.8125
16,2020-08-24 12:15:09.773563,21.0,65.0,5.6875
17,2020-08-24 12:17:13.159821,21.0,65.0,5.5625
18,2020-08-24 12:19:16.547529,21.0,65.0,5.4375
19,2020-08-24 12:21:30.023562,21.0,65.0,5.3125
20,2020-08-24 12:23:30.953452,21.0,65.0,5.1875
21,2020-08-24 12:25:34.333571,21.0,65.0,5.0625
22,2020-08-24 12:27:37.765717,21.0,65.0,5.0
23,2020-08-24 12:29:38.663477,21.0,65.0,4.9375
24,2020-08-24 12:31:39.551323,21.0,65.0,5.0
25,2020-08-24 12:33:48.041237,21.0,65.0,5.125
26,2020-08-24 12:35:48.923546,21.0,65.0,5.3125
27,2020-08-24 12:37:52.403487,21.0,65.0,5.375
28,2020-08-24 12:39:55.763446,21.0,65.0,5.5
29,2020-08-24 12:41:56.667424,21.0,66.0,5.625
30,2020-08-24 12:44:05.053598,20.0,67.0,5.6875
31,2020-08-24 12:46:08.423503,21.0,66.0,5.6875
32,2020-08-24 12:48:14.340782,21.0,65.0,5.8125
33,2020-08-24 12:50:15.173556,20.0,66.0,5.8125
34,2020-08-24 12:52:23.603745,20.0,67.0,5.875
35,2020-08-24 12:54:24.443569,21.0,65.0,5.875
36,2020-08-24 12:56:32.905707,20.0,67.0,5.875
37,2020-08-24 12:58:36.294201,21.0,65.0,6.0
38,2020-08-24 13:00:49.793549,20.0,66.0,6.0
39,2020-08-24 13:03:00.733674,20.0,67.0,6.0625
40,2020-08-24 13:05:09.133564,20.0,67.0,6.1875
41,2020-08-24 13:07:09.991869,21.0,66.0,6.25
42,2020-08-24 13:09:13.373578,20.0,66.0,6.25
43,2020-08-24 13:11:21.837466,20.0,66.0,6.25
44,2020-08-24 13:13:22.643534,20.0,66.0,6.5625
45,2020-08-24 13:15:31.053666,20.0,66.0,5.125
46,2020-08-24 13:17:36.953513,20.0,67.0,3.75
47,2020-08-24 13:19:37.817082,20.0,67.0,3.0
48,2020-08-24 13:21:41.243998,20.0,66.0,3.125
49,2020-08-24 13:23:49.703545,20.0,66.0,3.1875
50,2020-08-24 13:25:58.115929,20.0,66.0,3.3125
51,2020-08-24 13:27:58.973544,20.0,66.0,3.3125
